,Locked mode shot #,RF beginning time [s],RF ending time [s],RF power [MW],THACO run on He-like?,THACO run on H-like?,"Density [1e19 m^-3] (t_beg, t_end)","Electron temp [keV] (t_beg, t_end)",Plasma current [MA],Magnetic field [T],H/D ratio,Anything interesting?,Max W_MHD (kJ),T_E,Z-Int Initial,Z-Int Final,Δ Brightness
*11402210,,,,,,,,,,,,,,,,,
06,,0.6,1.5,0.9 to 1.3 at 1s,No,No,"10-15 (0.4, 1.5)","1.5-2 (0.5, 1.5)",1,5.4,0.3-0.4,,51,0.042,1187,370,0.6883
07,,0.6,1.5,0.9 to 1.5 at 1s,No,No,"10-14 (0.5, 1.5)","1.5-2 (0.5, 1.5)",1,5.4,0.3,Two post-pumpout steady states,52,0.042,1180,"430, 340","0.6536, 0.7119"
08,,0.6,1.5,0.9 to 1.5 at 1s,No,No,"12-15 (0.5, 1.5)","1.5-2 (0.5, 1.5)",1,5.4,0.3-0.35,Two post-pumpout steady states,48,0.033,1123,"450, 340","0.5703, 0.6636"
09,,0.6,1.5,0.9 to 1.5 at 1s,No,No,"11-14 (0.5, 1.5)","1.5-2 (0.5, 1.5)",1,5.4,0.3-0.35,Two post-pumpout steady states,49,0.035,1165,"450, 350","0.6137, 0.6996"
10,,0.6,1.5,0.9 to 1.5 at 1s,No,No,"12-14.5 (0.5, 1.5)","1.5-1.75 (0.5, 1.5)",1,5.4,0.3-0.35,Two post-pumpout steady states,47,0.03,1020,"430, 350","0.5784, 0.6569"
12,1140227003,1,1.5,0.5,Yes,No,"Brief peak to 8 (0.15, 0.3), Steady increasing trend before drop (11 to 13.5 between 0.4 and 1.5)","1.75 (0.2, 1.65)",1,5.4,0.3-.35 (H/H+D),"Steep decreases then level off in A-Int, W-Int, Z-Int when RF turned on. Increase in M-Int then slow decrease until RF turned off",50,0.03,9650,3400,0.6476683938
13,1140221016,1,1.5,0.6,Yes,Yes,"Steady increase from 8 at 0.2 to 13 at 1.5, decrease after","2 (0.3 to 1.2), 1.5 until 1.75",1,5.4,0.35,SAA,47,0.03,12250,3400,0.7224489796
15,1131003 (?),1,1.5,0.6,No,No,"Around 10.5 from 0.4 to 1, 13 from 1.1 to 1.5",Decreasing trend centered at 2 from 0 to 1.7,1,5.4,0.32,"SAA, same trends but less pronounced in Ti",45,0.03,12000,2750,0.7708333333
16,1140221016,0.6,1.5,"0.4 from 0.6 to 1, 1.05 from 1 to 1.3, 0.61 from 1.3 to 1.5",Yes,Yes,Increasing trend centered at 12 from 0.4 to 1.6,decreasing trend centered at 1.9 from 0 to 1.8,1,5.4,0.32,"Same effect as above at 1 with high RF, low RF did not seem to affect, can't tell if step down affected",47,0.03,13600,3210,0.7639705882
17,,0.6,1.5,0-0.4 to 0.6-1 at 1s (pulses),No,No,9.5-13 (0.4-1.5),"1.5-2 (0.5, 1.5)",1,5.4,0.3-0.35,No reaction to pulses,44,0.028,13500,3250,0.7592592593
19,1140221016,0.6,1.5,0.5,Yes,Yes,"8 from (.15, .3), hovers around 12 (.4, 1.8)","decreasing trend from 2 to 1.75 (.1, 1.6)",1,5.4,0.38,"Rising and falling patterns of A,M,W,Z-Int seem to follow RF steps, however RF spikes from .5 to 1 make little difference",44,0.025,9480,2900,0.694092827
21,,0.6,1.5,0.6,No,No,"around 11 (.4, 1.5) then a slow increase","rapid increase from .3 to 2 (.1, .75) and 1.75 (.75, 1.6)",1,5.4,0.42,"W,Z-Int increase to previous level when RF turned off after less time on",42,0.02,9040,3300,0.6349557522
22,,0.7,1.5,1.3,No,No,"8 (.2, .3) and the increases from 11 to 14 (.4, 1.5)","rapid increase from .3 to 2 (.1, .4) and 1.75 (.4, 1.6)",1,5.4,0.42,"Changes in A,M,W,Z-Int seem to follow steps in RF, increase in RF from .5 to 1 has no effect on A,W,Z levels",44,0.067,10670,2600,0.7563261481
23,,0.7,1.5,0.7 to 1.4 to 0.6,No,No,13.5 (0.8-1.5),"1.5-2 (0.5, 1.5)",1,5.4,0.4,Pumpout seems to react to change in RF,45,0.025,11500,"4500, 2600","0.6087, 0.7739"
